POSICIÓN,AREA,Á.LIQ.,GRUPO DE PERSONAL,CODIGO POSTAL,MOTIVO DE LA RENUNCIA,BANDA,BAJA,REGLAPHT,ALTA,AÑOS,MESES,ANTIGÜEDAD,CLAVE DE SEXO,LUGAR DE NACIMIENTO,NACIONALIDAD,EDAD,¿CUANTO TIEMPO TIENE VIVIENDO EN CD. JUAREZ?,ESTADO CIVIL,HIJOS,Distancia,TIEMPO VIVIENDO EN CD JUAREZ - CATEGORIA,TIENE HIJOS
POS1376,VS5,S5,Direct,32560,Imp.Tra Jubilación,DNO,2023-06-16,JF010600,2012-09-04,11,131.23333333333335,3937,Femenino,CD JUAREZ CHIH,Mexican,60,10+ Years,Solter,1,10.674237037613494,10+ Años,No
POS1323,VS9-ABS,S5,Direct,32500,Vol Cambio de domicilio,DO,2023-06-20,JF010600,2018-08-16,5,58.966666666666654,1769,Masculino,ZACATECAS,Mexican,28,3-4 Years,Solter,0,11.616135671000698,4-6 Años,Sí
POS1323,VS7,S5,Direct,32575,Vol Insatisfacción personal,DO,2023-06-20,JF010600,2019-08-22,4,46.6,1398,Femenino,CHIHUAHUA,Mexican,24,10+ Years,Solter,0,6.025403146377438,10+ Años,No
POS538,VS9-ABS,S5,Direct,32599,Vol Estudios,DO,2023-06-20,JF060600,2021-01-07,2,29.8,894,Femenino,CHIHUAHUA,Mexican,22,10+ Years,Solter,0,13.59346846802786,10+ Años,No
POS1380,MFS,S5,Direct,32575,Vol Prob personales y fam.,DO,2023-06-20,JT031800,2022-09-08,1,9.5,285,Masculino,CHIHUAHUA,Mexican,28,10+ Years,U-Libr,2,6.025403146377438,10+ Años,No
POS538,VS9-ABS,S5,Direct,32575,Vol Prob personales y fam.,DO,2023-06-20,JT031800,2023-01-10,0,5.366666666666666,161,Femenino,CHIHUAHUA,Mexican,19,,Solter,0,6.025403146377438,Menos de 1 Año,Sí
POS1380,MFS,S5,Direct,32695,Vol Estudios,DO,2023-06-20,JT031800,2023-02-16,0,4.1333333333333355,124,Masculino,CHIHUAHUA,Mexican,23,,Solter,0,14.766084763351962,Menos de 1 Año,No
POS1323,VS7,S5,Direct,32575,Vol Otro empleo,DO,2023-06-20,JT012324,2007-01-18,16,199.9,5997,Femenino,BAJA CALIFORNIA,Mexican,41,10+ Years,U-Libr,3,6.025403146377438,10+ Años,No
POS1323,VS9-ABS,S5,Direct,32575,Vol Prob personales y fam.,DO,2023-06-20,JS011500,2019-08-22,4,46.6,1398,Femenino,CHIHUAHUA,Mexican,37,7-8 Years,U-Libr,3,6.025403146377438,7-9 Años,Sí
POS1323,VS9-ABS,S5,Direct,32699,Vol No regreso   no dio razón,DO,2023-06-22,JS011500,2020-12-10,3,30.8,924,Femenino,CHIHUAHUA,Mexican,21,,Solter,0,7.522064631144397,Menos de 1 Año,Sí
POS2939,VS9-ABS,S5,Direct,32590,Vol No regreso   no dio razón,DO,2023-06-22,JS011500,2023-06-01,0,0.7000000000000001,21,Femenino,BAJA CALIFORNIA SUR,Mexican,31,,U-Libr,3,7.6167347145514395,Menos de 1 Año,No
POS1323,VS1,S5,Direct,32584,Vol Transferencia entre planta,DO,2023-06-23,JT012324,2014-11-05,9,105.06666666666666,3152,Femenino,CHIHUAHUA,Mexican,31,10+ Years,U-Libr,2,4.874712011839221,10+ Años,Sí
POS1323,VS9-ABS,S5,Direct,32594,Vol Transferencia entre planta,DO,2023-06-23,JF010600,2015-03-18,8,100.63333333333333,3019,Femenino,VERACRUZ,Mexican,48,,Casad,3,4.4579873551447315,Menos de 1 Año,Sí
POS251,HSE,S6,Exempt,32553,Vol Transferencia entre planta,E3,2023-06-24,ADMINIST,2020-11-05,3,32.03333333333333,961,Femenino,CHIHUAHUA,Mexican,28,,Solter,0,6.2435744940117885,Menos de 1 Año,Sí
POS2858,QMM,S6,Exempt,32400,Vol Transferencia entre planta,E3,2023-06-25,ADMINIST,2018-10-11,5,57.26666666666665,1718,Masculino,CHIHUAHUA,Mexican,35,,Solter,0,9.689887942263292,Menos de 1 Año,No
POS538,VS9-ABS,S5,Direct,32551,Vol No regreso   no dio razón,DO,2023-06-26,JT031800,2023-01-05,0,5.733333333333334,172,Femenino,CHIHUAHUA,Mexican,21,,Solter,0,,Menos de 1 Año,No
POS1230,VS9-ABS,S5,Direct,32575,Vol Otro empleo,DNO,2023-06-27,JS011500,2015-09-02,8,95.16666666666667,2855,Masculino,CHIHUAHUA,Mexican,28,10+ Years,Solter,1,6.025403146377438,10+ Años,No
POS1921,MFS,S5,Direct,32599,Vol Insatisfacción personal,DO,2023-06-27,JS011500,2018-11-15,5,56.16666666666665,1685,Femenino,COAHUILA,Mexican,36,,Casad,1,13.59346846802786,Menos de 1 Año,Sí
POS1921,MFS,S5,Direct,32575,Vol Prob personales y fam.,DO,2023-06-27,JS011500,2020-03-19,3,39.833333333333336,1195,Femenino,OAXACA,Mexican,34,,Casad,2,6.025403146377438,Menos de 1 Año,Sí
POS1921,MFS,S5,Direct,32560,Vol Cambio de domicilio,DO,2023-06-27,JF010600,2021-02-11,2,28.866666666666667,866,Femenino,CHIHUAHUA,Mexican,21,10+ Years,Solter,0,10.674237037613494,10+ Años,Sí
POS1921,MFS,S5,Direct,32575,Vol Insatisfacción personal,DO,2023-06-27,JS011500,2022-07-21,1,11.36666666666667,341,Femenino,DURANGO,Mexican,32,,U-Libr,0,6.025403146377438,Menos de 1 Año,No
POS1380,MFS,S5,Direct,32575,Vol Prob personales y fam.,DO,2023-06-27,JT031800,2022-09-22,1,9.26666666666667,278,Femenino,CHIHUAHUA,Mexican,22,10+ Years,Solter,0,6.025403146377438,10+ Años,No
POS1921,MFS,S5,Direct,32575,Vol Prob personales y fam.,DO,2023-06-27,JT012324,2022-12-08,1,6.7,201,Femenino,CHIHUAHUA,Mexican,30,2-3 Years,Sep,3,6.025403146377438,1-3 Años,No
POS538,VS9-ABS,S5,Direct,32590,Vol Estudios,DO,2023-06-27,JT031800,2022-12-22,1,6.233333333333334,187,Masculino,CHIHUAHUA,Mexican,18,10+ Years,Solter,0,7.6167347145514395,10+ Años,Sí
POS1323,VS5,S5,Direct,32575,Vol Prob personales y fam.,DO,2023-06-27,JT012324,2023-01-12,0,5.533333333333334,166,Femenino,CHIHUAHUA,Mexican,25,2-3 Years,Solter,1,6.025403146377438,1-3 Años,No
POS538,VS1,S5,Direct,32575,Vol Prob personales y fam.,DO,2023-06-27,JT031800,2023-02-09,0,4.6,138,Femenino,CHIAPAS,Mexican,22,4,U-Libr,1,6.025403146377438,10+ Años,Sí
POS1921,MFS,S5,Direct,32575,Vol Insatisfacción personal,DO,2023-06-27,JS011500,2018-01-11,5,66.43333333333334,1993,Masculino,VERACRUZ,Mexican,28,,Casad,1,6.025403146377438,Menos de 1 Año,Sí
POS1921,MFS,S5,Direct,32599,Vol Insatisfacción personal,DO,2023-06-27,JS011500,2017-07-20,6,72.26666666666668,2168,Femenino,CHIHUAHUA,Mexican,38,,Casad,5,13.59346846802786,Menos de 1 Año,Sí
POS2003,VS1-HOUS,S5,Direct,32576,Vol Maternidad,DO,2023-06-27,JF050600,2015-04-08,8,100.06666666666666,3002,Femenino,CHIHUAHUA,Mexican,32,,Solter,1,6.376805488828198,Menos de 1 Año,Sí
POS1323,VS9-ABS,S5,Direct,32550,Vol Prob personales y fam.,DO,2023-06-27,JS011500,2022-09-08,1,9.733333333333333,292,Femenino,OAXACA,Mexican,20,1-2 Years ,Solter,0,6.212976326401295,1-3 Años,Sí
POS2858,QMM,S6,Exempt,32469,Vol Otro empleo,E3,2023-06-30,ADMINIST,2018-02-01,5,65.83333333333331,1975,Masculino,CHIHUAHUA,Mexican,29,,Solter,0,7.2459872235330485,Menos de 1 Año,No
POS454,TEF,S5,Indirect,32600,Vol Transferencia entre planta,DNO,2023-06-30,JF010600,2022-04-28,1,14.26666666666667,428,Femenino,ZACATECAS,Mexican,24,,Solter,0,18.460211302745325,Menos de 1 Año,No
POS1323,VS7,S5,Direct,32215,Imp.Tra Jubilación,DO,2023-06-30,JT012324,2005-08-08,18,217.83333333333337,6535,Femenino,CHIHUAHUA,Mexican,58,2-3 Years,Casad,3,18.630424750079985,1-3 Años,No
POS1323,VS4,S5,Direct,32575,Imp.Tra Jubilación,DO,2023-06-30,JF010600,2005-10-24,18,215.26666666666665,6458,Masculino,CHIHUAHUA,Mexican,55,,Casad,0,6.025403146377438,Menos de 1 Año,Sí
POS2803,VS4,S5,Direct,32472,Muerte Natural,DNO,2023-07-03,JT021800,2013-07-31,10,120.8,3624,Masculino,CHIHUAHUA,Mexican,53,,Casad,3,5.701427952235059,Menos de 1 Año,No
POS1559,MFS,S5,Direct,32500,Vol Otro empleo,DNO,2023-07-04,JT021800,2019-02-14,4,53.36666666666665,1601,Masculino,CHIHUAHUA,Mexican,23,,Solter,0,11.616135671000698,Menos de 1 Año,Sí
POS750,TEF,S5,Indirect,32583,Vol Otro empleo,DNO,2023-07-04,ADMINIST,2019-08-08,4,47.53333333333333,1426,Masculino,CHIHUAHUA,Mexican,26,,Solter,0,9.366780562752464,Menos de 1 Año,No
POS1323,VS9-ABS,S5,Direct,32575,Vol Cambio de domicilio,DO,2023-07-04,JT012324,2020-10-15,3,33.066666666666656,992,Femenino,CHIHUAHUA,Mexican,45,10+ Years,U-Libr,4,6.025403146377438,10+ Años,No
POS538,VS5,S5,Direct,32599,Vol Otro empleo,DO,2023-07-04,JF060600,2021-01-05,2,30.333333333333325,910,Femenino,CHIHUAHUA,Mexican,22,10+ Years,Solter,0,13.59346846802786,10+ Años,Sí
POS538,VS9-ABS,S5,Direct,32575,Vol Cambio de domicilio,DO,2023-07-04,JT031800,2022-12-01,1,7.166666666666667,215,Femenino,VERACRUZ,Mexican,31,8-9 Years,Casad,2,6.025403146377438,7-9 Años,No
POS1380,MFS,S5,Direct,32500,Vol Insatisfacción personal,DO,2023-07-04,JF060600,2022-12-22,1,6.466666666666668,194,Femenino,CHIHUAHUA,Mexican,21,10+ Years,Solter,0,11.616135671000698,10+ Años,Sí
POS1380,MFS,S5,Direct,32695,Vol Insatisfacción personal,DO,2023-07-04,JT031800,2023-01-05,0,6.0,180,Femenino,VERACRUZ,Mexican,39,5,Casad,2,14.766084763351962,10+ Años,No
POS1323,VS5,S5,Direct,32720,Imp.Tra Ausentismos continuos,DO,2023-07-04,JS011500,2023-01-26,0,5.3,159,Femenino,OAXACA,Mexican,18,,Solter,0,22.597263960481488,Menos de 1 Año,Sí
POS1323,VS9-ABS,S5,Direct,32575,Vol Prob personales y fam.,DO,2023-07-04,JS011500,2023-02-02,0,5.066666666666666,152,Masculino,CHIHUAHUA,Mexican,20,6-7 Years,Solter,0,6.025403146377438,7-9 Años,No
POS2939,VS7,S5,Direct,32590,Vol No regreso   no dio razón,DO,2023-07-05,JT012324,2023-05-25,0,1.3666666666666667,41,Femenino,CHIHUAHUA,Mexican,31,7-8 Years,Solter,1,7.6167347145514395,7-9 Años,No
POS2939,VS7,S5,Direct,32575,Vol No regreso   no dio razón,DO,2023-07-05,JT012324,2023-05-25,0,1.3666666666666667,41,Femenino,GUANAJUATO,Mexican,24,3-4 Years,Solter,1,6.025403146377438,4-6 Años,Sí
POS1323,VS9-ABS,S5,Direct,32575,Vol Transferencia entre planta,DO,2023-07-07,JF010600,2023-03-02,0,4.233333333333334,127,Masculino,CHIHUAHUA,Mexican,24,,Solter,0,6.025403146377438,Menos de 1 Año,Sí
POS343,VS5,S6,Exempt,32543,Imp.Tra Jubilación,E3,2023-07-07,JS011500,2005-12-28,18,213.33333333333337,6400,Masculino,CHIHUAHUA,Mexican,55,,Solter,0,5.547035154748849,Menos de 1 Año,No
POS538,VS1,S5,Direct,32575,Vol No regreso   no dio razón,DO,2023-07-10,JT031800,2023-01-10,0,6.033333333333334,181,Femenino,DURANGO,Mexican,25,,Solter,0,6.025403146377438,Menos de 1 Año,No
POS538,VS7,S5,Direct,32696,Vol No regreso   no dio razón,DO,2023-07-10,JT031800,2023-06-01,0,1.3,39,Masculino,VERACRUZ,Mexican,21,,Solter,0,13.940636066402496,Menos de 1 Año,No
POS1380,MFS,S5,Direct,32575,Vol No regreso   no dio razón,DO,2023-07-10,JF060600,2016-12-21,7,79.73333333333332,2392,Femenino,COAHUILA,Mexican,31,,Solter,2,6.025403146377438,Menos de 1 Año,No
POS347,LOG,S5,Direct,32599,Imp.Tra LFT y Reglamento int,DNO,2023-07-10,JF010600,2016-01-06,7,91.4,2742,Masculino,CHIHUAHUA,Mexican,27,10+ Years,Casad,2,13.59346846802786,10+ Años,Sí
POS1921,MFS,S5,Direct,32590,Vol Insatisfacción personal,DO,2023-07-11,JS011500,2019-09-26,4,46.13333333333333,1384,Masculino,COAHUILA,Mexican,57,,Solter,3,7.6167347145514395,Menos de 1 Año,Sí
POS1323,VS9-ABS,S5,Direct,32575,Vol Cambio de domicilio,DO,2023-07-11,JT012324,2020-10-15,3,33.3,999,Femenino,ZACATECAS,Mexican,45,2-3 Years,Casad,3,6.025403146377438,1-3 Años,Sí
POS347,LOG,S5,Direct,32573,Vol Otro empleo,DNO,2023-07-11,JF050600,2020-12-01,3,31.733333333333324,952,Masculino,CHIHUAHUA,Mexican,24,10+ Years,Solter,0,3.2680676311965646,10+ Años,Sí
POS1559,MFS,S5,Direct,32310,Vol Cambio de domicilio,DNO,2023-07-11,JF010600,2022-08-04,1,11.36666666666667,341,Masculino,CHIHUAHUA,Mexican,27,10+ Years,Solter,0,11.664474526091285,10+ Años,No
POS538,VS9-ABS,S5,Direct,32575,Vol Insatisfacción personal,DO,2023-07-11,JT031800,2022-12-22,1,6.7,201,Masculino,VERACRUZ,Mexican,32,10+ Years,Solter,1,6.025403146377438,10+ Años,No
POS1323,VS5,S5,Direct,32540,Imp.Tra Ausentismos continuos,DO,2023-07-11,JF010600,2023-01-19,0,5.7666666666666675,173,Femenino,CHIHUAHUA,Mexican,39,10+ Years,U-Libr,1,2.6942229076486908,10+ Años,Sí
POS1323,VS5,S5,Direct,32575,Vol Prob personales y fam.,DO,2023-07-11,JT012324,2023-02-23,0,4.6,138,Masculino,CHIHUAHUA,Mexican,19,8-9 Years,U-Libr,0,6.025403146377438,7-9 Años,Sí
POS2003,TEF,S5,Direct,32599,Vol Estudios,DNO,2023-07-11,ADMINIST,2023-04-20,0,2.733333333333334,82,Masculino,CHIHUAHUA,Mexican,23,,Solter,0,13.59346846802786,Menos de 1 Año,No
POS2939,VS1,S5,Direct,32575,Vol Razones médicas,DO,2023-07-11,JF010600,2023-06-15,0,0.8666666666666667,26,Femenino,CHIHUAHUA,Mexican,26,26 years,Solter,1,6.025403146377438,10+ Años,No
POS538,VS9-ABS,S5,Direct,32600,Vol Estudios,DO,2023-07-11,JT031800,2023-06-15,0,0.8666666666666667,26,Masculino,CHIHUAHUA,Mexican,19,10+ Years,Solter,0,18.460211302745325,10+ Años,Sí
POS1921,MFS,S5,Direct,32594,Vol Prob personales y fam.,DO,2023-07-11,JF010600,2014-10-22,9,106.13333333333333,3184,Masculino,MICHOACAN,Mexican,30,10+ Years,Casad,1,4.4579873551447315,10+ Años,No
POS1376,VS7,S5,Direct,32594,Vol Cambio de domicilio,DNO,2023-07-11,JF010600,2016-09-07,7,83.26666666666668,2498,Masculino,MICHOACAN,Mexican,30,10+ Years,Solter,0,4.4579873551447315,10+ Años,Sí
POS1380,MFS,S5,Direct,32590,Vol Otro empleo,DO,2023-07-18,JT031800,2022-09-22,1,9.96666666666667,299,Masculino,CHIHUAHUA,Mexican,29,10+ Years,Solter,0,7.6167347145514395,10+ Años,No
POS1921,MFS,S5,Direct,32599,Vol Prob personales y fam.,DO,2023-07-18,JF010600,2022-09-22,1,9.96666666666667,299,Femenino,CHIHUAHUA,Mexican,38,10+ Years,U-Libr,3,13.59346846802786,10+ Años,No
POS538,VS9-ABS,S5,Direct,32575,Vol Prob personales y fam.,DO,2023-07-18,JF060600,2022-11-17,1,8.1,243,Masculino,VERACRUZ,Mexican,24,4-5 Years,Solter,1,6.025403146377438,4-6 Años,Sí
POS1921,MFS,S5,Direct,32551,Vol Prob personales y fam.,DO,2023-07-18,JT012324,2023-01-05,0,6.466666666666668,194,Femenino,VERACRUZ,Mexican,25,10+ Years,Casad,2,,10+ Años,Sí
POS347,LOG,S5,Direct,32594,Vol Insatisfacción personal,DNO,2023-07-18,JF010600,2023-05-11,0,2.2666666666666666,68,Masculino,CHIHUAHUA,Mexican,43,10+ Years,Casad,2,4.4579873551447315,10+ Años,Sí
POS2939,VS9-ABS,S5,Direct,32575,Vol Insatisfacción personal,DO,2023-07-18,JS011500,2023-06-22,0,0.8666666666666667,26,Masculino,VERACRUZ,Mexican,24,10+ Years,Solter,0,6.025403146377438,10+ Años,Sí
POS1323,VS1,S5,Direct,32600,Imp.Tra Ausentismos continuos,DO,2023-07-18,JF010600,2018-01-11,5,67.13333333333333,2014,Masculino,CHIHUAHUA,Mexican,24,10 years,Solter,0,18.460211302745325,10+ Años,No
POS538,VS1,S5,Direct,32695,Vol Prob personales y fam.,DO,2023-07-18,JF060600,2007-07-30,16,194.4,5832,Femenino,OAXACA,Mexican,45,10+ Years,U-Libr,2,14.766084763351962,10+ Años,No
POS2003,VS7,S5,Direct,32575,Vol Cambio de domicilio,DO,2023-07-18,JS011500,2016-03-16,7,89.33333333333331,2680,Masculino,MISANTLA,Mexican,45,,Solter,0,6.025403146377438,Menos de 1 Año,Sí
POS2939,VS9-ABS,S5,Direct,32586,Vol No regreso   no dio razón,DO,2023-07-19,JT012324,2023-06-22,0,0.9,27,Femenino,CHIHUAHUA,Mexican,27,10+ Years,Casad,2,31.108730589600686,10+ Años,No
POS2939,VS9-ABS,S5,Direct,32586,Vol No regreso   no dio razón,DO,2023-07-19,JT012324,2023-06-22,0,0.9,27,Femenino,CHIHUAHUA,Mexican,24,10+ Years,U-Libr,2,31.108730589600686,10+ Años,Sí
POS347,LOG,S5,Direct,32575,Vol No regreso   no dio razón,DNO,2023-07-19,JF010600,2014-10-27,9,106.23333333333332,3187,Masculino,COAHUILA,Mexican,37,10+ Years,Casad,3,6.025403146377438,10+ Años,Sí
POS1323,VS9-ABS,S5,Direct,32599,Vol Transferencia entre planta,DO,2023-07-21,JF010600,2022-09-01,1,10.76666666666667,323,Femenino,CHIHUAHUA,Mexican,23,,Solter,0,13.59346846802786,Menos de 1 Año,Sí
POS1323,VS9-ABS,S5,Direct,32599,Vol Transferencia entre planta,DO,2023-07-21,JF010600,2013-07-03,10,122.33333333333331,3670,Femenino,VERACRUZ,Mexican,38,,Casad,2,13.59346846802786,Menos de 1 Año,No
POS1323,VS1,S5,Direct,32599,Vol No regreso   no dio razón,DO,2023-07-24,JF010600,2018-08-23,5,59.86666666666665,1796,Femenino,CHIHUAHUA,Mexican,27,,Solter,0,13.59346846802786,Menos de 1 Año,Sí
POS1921,MFS,S5,Direct,32590,Vol No regreso   no dio razón,DO,2023-07-24,JS011500,2023-03-09,0,4.566666666666666,137,Masculino,OAXACA,Mexican,30,,Casad,2,7.6167347145514395,Menos de 1 Año,No
POS1380,MFS,S5,Direct,32575,Vol No regreso   no dio razón,DO,2023-07-24,JT031800,2023-06-29,0,0.8333333333333335,25,Femenino,CHIHUAHUA,Mexican,18,,U-Libr,0,6.025403146377438,Menos de 1 Año,Sí
POS1323,VS7,S5,Direct,32575,Vol Prob personales y fam.,DO,2023-07-25,JT012324,2023-03-30,0,3.9,117,Femenino,DURANGO,Mexican,36,10+ Years,U-Libr,3,6.025403146377438,10+ Años,No
POS1323,VS9-ABS,S5,Direct,27000,Vol Transferencia entre planta,DO,2023-07-28,JS011500,2022-10-03,1,9.933333333333334,298,Femenino,TAMAULIPAS,Mexican,43,,Sep,2,737.350801614168,Menos de 1 Año,Sí
POS1230,VS4,S5,Direct,32190,Imp.Tra Jubilación,DNO,2023-07-28,JS011500,2005-07-18,18,219.46666666666664,6584,Masculino,CHIHUAHUA,Mexican,55,,Casad,4,16.59959946004633,Menos de 1 Año,Sí
POS1230,VS9-ABS,S5,Direct,32600,Vol Transferencia entre planta,DNO,2023-07-28,ADMINIST,2017-07-27,6,73.06666666666666,2192,Masculino,CHIHUAHUA,Mexican,24,,Solter,0,18.460211302745325,Menos de 1 Año,Sí
POS2553,LOG,S6,Exempt,32472,Vol Otro empleo,E4,2023-07-28,ADMINIST,2016-02-16,7,90.63333333333333,2719,Masculino,CHIHUAHUA,Mexican,48,,Solter,0,5.701427952235059,Menos de 1 Año,No
POS1010,TEF,S6,Managers,32540,Vol Transferencia entre planta,SL1,2023-07-29,ADMINIST,2001-04-23,22,271.0666666666667,8132,Masculino,CHIHUAHUA,Mexican,51,,Casad,2,2.6942229076486908,Menos de 1 Año,No
POS2094,TEF,S5,Indirect,32696,Vol Transferencia entre planta,DNO,2023-07-29,ADMINIST,2016-06-08,7,86.9,2607,Masculino,CHOAPAM,Mexican,46,,Casad,0,13.940636066402496,Menos de 1 Año,Sí
POS538,VS9-ABS,S5,Direct,32590,Vol No regreso   no dio razón,DO,2023-07-31,JT031800,2023-07-06,0,0.8333333333333335,25,Masculino,VERACRUZ,Mexican,48,,Solter,4,7.6167347145514395,Menos de 1 Año,No
POS1373,QMM,S5,Direct,32720,Vol Otro empleo,DNO,2023-08-01,JF010600,2019-02-28,4,53.833333333333336,1615,Femenino,CHIHUAHUA,Mexican,27,10+ Years,Solter,0,22.597263960481488,10+ Años,Sí
POS1921,MFS,S5,Direct,32575,Vol Insatisfacción personal,DO,2023-08-01,JS011500,2020-01-16,3,43.1,1293,Femenino,CHIHUAHUA,Mexican,23,,Solter,0,6.025403146377438,Menos de 1 Año,No
POS538,VS1-HOUS,S5,Direct,32575,Vol Razones médicas,DO,2023-08-01,JF060600,2022-09-08,1,10.9,327,Femenino,CHIHUAHUA,Mexican,34,10+ Years,Solter,3,6.025403146377438,10+ Años,No
POS1380,MFS,S5,Direct,32695,Vol Estudios,DO,2023-08-01,JT031800,2022-09-08,1,10.9,327,Femenino,CHIHUAHUA,Mexican,26,10+ Years,Solter,0,14.766084763351962,10+ Años,Sí
POS538,VS9-ABS,S5,Direct,32590,Vol Prob personales y fam.,DO,2023-08-01,JF060600,2023-03-02,0,5.066666666666666,152,Femenino,CHIHUAHUA,Mexican,20,10+ Years,U-Libr,1,7.6167347145514395,10+ Años,No
POS538,VS7,S5,Direct,32590,Vol Cambio de domicilio,DO,2023-08-01,JT031800,2023-04-20,0,3.433333333333333,103,Masculino,ZACATECAS,Mexican,33,10+ Years,Casad,3,7.6167347145514395,10+ Años,Sí
POS538,VS7,S5,Direct,32575,Vol Estudios,DO,2023-08-01,JT031800,2023-06-01,0,2.033333333333333,61,Masculino,CHIHUAHUA,Mexican,19,10+ Years,Solter,0,6.025403146377438,10+ Años,Sí
POS347,LOG,S5,Direct,32575,Vol No regreso   no dio razón,DNO,2023-08-01,JS011500,2023-07-13,0,0.6333333333333334,19,Masculino,OAXACA,Mexican,24,,U-Libr,0,6.025403146377438,Menos de 1 Año,No
POS2939,VS5,S5,Direct,32575,Vol No regreso   no dio razón,DO,2023-08-02,JF010600,2023-06-29,0,1.1333333333333333,34,Masculino,CHIHUAHUA,Mexican,22,10+ Years,Solter,0,6.025403146377438,10+ Años,No
POS1111,VS5,S5,Indirect,32573,Vol Transferencia entre planta,DNO,2023-08-04,JF010600,2019-03-11,4,53.566666666666656,1607,Masculino,CHIHUAHUA,Mexican,26,10+ Years,Solter,0,3.2680676311965646,10+ Años,No
POS1181,LOG,S6,Exempt,32583,Vol Otro empleo,E3,2023-08-04,ADMINIST,2021-12-09,2,20.1,603,Masculino,CHIHUAHUA,Mexican,25,,Solter,1,9.366780562752464,Menos de 1 Año,No
POS1323,VS9-ABS,S5,Direct,32575,Vol Transferencia entre planta,DO,2023-08-04,JF010600,2022-12-01,1,8.2,246,Femenino,CHIHUAHUA,Mexican,20,,Solter,1,6.025403146377438,Menos de 1 Año,Sí
POS1921,MFS,S5,Direct,32575,Vol Transferencia entre planta,,2023-08-04,JF010600,2022-12-29,1,7.2666666666666675,218,Femenino,CHIHUAHUA,Mexican,20,,Solter,0,6.025403146377438,Menos de 1 Año,Sí
POS2939,VS7,S5,Direct,27000,Imp.Tra Falsificación de docto,DO,2023-08-04,JS011500,2023-06-22,0,1.4333333333333331,43,Femenino,CHIHUAHUA,Mexican,24,,Solter,0,737.350801614168,Menos de 1 Año,No
POS2939,VS9-ABS,S5,Direct,32598,Vol Transferencia entre planta,DO,2023-08-04,JF010600,2023-06-29,0,1.2,36,Femenino,CHIHUAHUA,Mexican,19,,Solter,0,14.816703036317268,Menos de 1 Año,No
POS2939,VS5,S5,Direct,32599,Imp.Tra Falsificación de docto,DO,2023-08-04,JS011500,2023-07-13,0,0.7333333333333334,22,Masculino,CHIHUAHUA,Mexican,23,,Solter,0,13.59346846802786,Menos de 1 Año,No
POS1788,TEF,S6,Exempt,32560,Vol Otro empleo,E4,2023-08-04,ADMINIST,2006-01-30,17,213.16666666666663,6395,Masculino,CHIHUAHUA,Mexican,48,,Casad,3,10.674237037613494,Menos de 1 Año,No
POS2802,TEF,S5,Direct,32575,Imp.Tra Jubilación,DNO,2023-08-04,JF010600,2011-02-16,12,151.73333333333335,4552,Femenino,CHIHUAHUA,Mexican,55,,U-Libr,3,6.025403146377438,Menos de 1 Año,Sí
POS2939,VS7,S5,Direct,32598,Vol No regreso   no dio razón,DO,2023-08-07,JT012324,2023-06-08,0,2.0,60,Masculino,CHIHUAHUA,Mexican,35,,U-Libr,2,14.816703036317268,Menos de 1 Año,Sí
POS1323,VS7,S5,Direct,32575,Vol Prob personales y fam.,DO,2023-08-08,JF010600,2019-04-04,4,52.9,1587,Femenino,ESTADO DE MEXICO,Mexican,23,10+ Years,Solter,0,6.025403146377438,10+ Años,Sí
POS538,VS1-HOUS,S5,Direct,32575,Vol Prob personales y fam.,DO,2023-08-08,JF060600,2019-07-25,4,49.16666666666665,1475,Femenino,CHIHUAHUA,Mexican,31,10+ Years,Solter,3,6.025403146377438,10+ Años,No
POS1323,VS5,S5,Direct,32575,Vol Estudios,DO,2023-08-08,JT012324,2022-08-25,1,11.6,348,Masculino,OAXACA,Mexican,19,2-3 Years,Solter,0,6.025403146377438,1-3 Años,Sí
POS2939,VS7,S5,Direct,32580,Vol No regreso   no dio razón,DO,2023-08-08,JS011500,2023-06-08,0,2.033333333333333,61,Femenino,CHIHUAHUA,Mexican,19,,Solter,0,7.706894327778476,Menos de 1 Año,No
POS2939,VS9-ABS,S5,Direct,32599,Vol Insatisfacción personal,DO,2023-08-08,JF010600,2023-06-08,0,2.033333333333333,61,Masculino,OAXACA,Mexican,26,91-180 Days,Solter,0,13.59346846802786,Menos de 1 Año,No
POS2939,VS9-ABS,S5,Direct,32552,Vol Estudios,DO,2023-08-08,JF010600,2023-06-22,0,1.5666666666666667,47,Masculino,CHIHUAHUA,Mexican,19,10+ Years,Solter,0,,10+ Años,No
POS1380,MFS,S5,Direct,32575,Vol Prob personales y fam.,DO,2023-08-08,JF060600,2013-07-17,10,122.46666666666668,3674,Femenino,CHIAPAS,Mexican,30,10+ Years,Casad,1,6.025403146377438,10+ Años,No
POS2003,MFS,S5,Direct,32599,Vol Cambio de domicilio,DO,2023-08-08,JF050600,2016-02-03,7,91.43333333333334,2743,Femenino,COSAMALOPAPAN,Mexican,34,10+ Years,Solter,0,13.59346846802786,10+ Años,Sí
POS2939,VS1-HOUS,S5,Direct,32600,Vol Transferencia entre planta,DO,2023-08-11,JS011500,2019-10-24,4,46.23333333333334,1387,Femenino,CHIHUAHUA,Mexican,22,,Solter,0,18.460211302745325,Menos de 1 Año,No
